player,nation,position,squad,age,born,matches_played,startsminutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per_90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Alessio Romagnoli,it,DF,Milan,24,1995,35,,1,0,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.6,1.6,0.6,0.05,0.02,0.06,0.05,0.06
Cristian Romero,ar,DF,Genoa,21,1998,30,,1,1,1,1,15,1,0.03,0.03,0.07,0.00,0.03,2.3,1.5,0.5,0.08,0.02,0.10,0.05,0.07
Rômulo,it,MF,Brescia,32,1987,22,,1,3,0,0,3,0,0.05,0.16,0.21,0.05,0.21,2.1,2.1,1.0,0.11,0.05,0.16,0.11,0.16
Rômulo,it,DF,Genoa,32,1987,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Cristiano Ronaldo,pt,FW,Juventus,34,1985,33,,31,5,12,13,3,0,0.96,0.15,1.11,0.59,0.74,26.7,16.9,5.2,0.82,0.16,0.98,0.52,0.68
Marten de Roon,nl,MF,Atalanta,28,1991,35,,2,5,0,0,12,0,0.07,0.17,0.23,0.07,0.23,1.7,1.7,2.1,0.06,0.07,0.13,0.06,0.13
Antonio Rosati,it,GK,Torino,36,1983,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Luca Rossettini,it,DF,Lecce,34,1985,26,,0,2,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.9,0.00,0.04,0.04,0.00,0.04
Francesco Rossi,it,GK,Atalanta,28,1991,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Nicolò Rovella,it,MF,Genoa,17,2001,2,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
Amir Rrahmani,xk,DF,Hellas Verona,25,1994,36,,0,1,0,0,5,0,0.00,0.03,0.03,0.00,0.03,3.0,3.0,0.8,0.08,0.02,0.11,0.08,0.11
Dion Ruffo Luci,it,MF,Bologna,18,2001,1,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Daniele Rugani,it,DF,Juventus,25,1994,10,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.04,0.00,0.04,0.04,0.04
Mário Rui,pt,DF,Napoli,28,1991,24,,0,2,0,0,8,0,0.00,0.09,0.09,0.00,0.09,1.2,1.2,3.3,0.05,0.15,0.21,0.05,0.21
Fabián Ruiz Peña,es,MF,Napoli,23,1996,33,,3,6,0,0,2,0,0.10,0.20,0.30,0.10,0.30,3.1,3.1,4.8,0.10,0.16,0.27,0.10,0.27
Stefano Sabelli,it,DF,Brescia,26,1993,36,,0,3,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,3.7,0.02,0.11,0.12,0.02,0.12
Alexis Saelemaekers,be,"FW,MF",Milan,20,1999,13,,1,0,0,0,4,1,0.13,0.00,0.13,0.13,0.13,0.8,0.8,1.1,0.10,0.14,0.24,0.10,0.24
Jacopo Sala,it,DF,SPAL,27,1991,16,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.05,0.03,0.08,0.05,0.08
Bartosz Salamon,pl,DF,SPAL,28,1991,7,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Eddy Salcedo,it,"FW,MF",Hellas Verona,17,2001,17,,1,0,0,0,0,0,0.13,0.00,0.13,0.13,0.13,1.5,1.5,1.6,0.20,0.21,0.41,0.20,0.41
Antonio Sanabria,py,FW,Genoa,23,1996,24,,6,2,0,0,3,0,0.39,0.13,0.52,0.39,0.52,3.7,3.7,1.9,0.24,0.12,0.36,0.24,0.36
Alexis Sánchez,cl,FW,Inter,30,1988,22,,4,8,1,1,4,1,0.39,0.78,1.17,0.29,1.07,4.3,3.6,3.2,0.42,0.32,0.74,0.35,0.66
Alex Sandro,br,DF,Juventus,28,1991,29,,1,3,0,0,4,0,0.04,0.11,0.15,0.04,0.15,0.7,0.7,2.5,0.03,0.09,0.12,0.03,0.12
Nicola Sansone,it,"FW,MF",Bologna,27,1991,33,,4,3,3,4,6,0,0.16,0.12,0.28,0.04,0.16,9.2,6.2,4.0,0.37,0.16,0.53,0.25,0.41
Federico Santander,py,FW,Bologna,28,1991,24,,1,0,1,1,6,0,0.12,0.00,0.12,0.00,0.00,3.2,2.5,0.9,0.38,0.10,0.48,0.29,0.39
Davide Santon,it,DF,Roma,28,1991,15,,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02
Samir Santos,br,DF,Udinese,24,1994,21,,1,0,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.4,0.04,0.02,0.07,0.04,0.07
Riccardo Saponara,it,"MF,FW",Lecce,27,1991,13,,2,4,0,0,2,0,0.19,0.38,0.57,0.19,0.57,2.0,2.0,2.7,0.19,0.26,0.45,0.19,0.45
Riccardo Saponara,it,"MF,FW",Genoa,27,1991,4,,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.16,0.04,0.20,0.16,0.20
Lasse Schöne,dk,MF,Genoa,33,1986,32,,2,3,0,1,5,0,0.07,0.11,0.19,0.07,0.19,2.9,2.2,3.2,0.11,0.12,0.23,0.08,0.20
Jerdy Schouten,nl,MF,Bologna,22,1997,19,,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.01,0.03,0.04,0.01,0.04
Matteo Scozzarella,it,MF,Parma,31,1988,16,,0,3,0,0,2,0,0.00,0.29,0.29,0.00,0.29,0.1,0.1,1.2,0.01,0.12,0.13,0.01,0.13
Ken Sema,se,"DF,MF",Udinese,25,1993,32,,2,1,0,0,6,0,0.07,0.04,0.11,0.07,0.11,0.5,0.5,3.9,0.02,0.14,0.16,0.02,0.16
Alessandro Semprini,it,DF,Brescia,21,1998,12,,1,0,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.8,0.8,0.4,0.12,0.06,0.17,0.12,0.17
Stefano Sensi,it,"MF,FW",Inter,23,1995,12,,3,2,0,0,2,0,0.37,0.25,0.62,0.37,0.62,1.6,1.6,1.0,0.20,0.12,0.33,0.20,0.33
Luigi Sepe,it,GK,Parma,28,1991,34,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.00,0.01,0.01,0.00,0.01
Yevhen Shakhov,ua,"MF,FW",Lecce,28,1990,24,,1,2,0,0,3,0,0.08,0.17,0.25,0.08,0.25,0.9,0.9,2.0,0.07,0.17,0.24,0.07,0.24
