Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
81,Davide Calabria,it,DF,Milan,21,1996,21.7,1194,1476,80.9,21497,8274,1194,1476,80.9,1194,1476,80.9,1194,1476,80.9,2,2.1,-0.1,19,114,21,14,156,/en/players/2146785a/matchlogs/2018-2019/passing/Davide-Calabria-Match-Logs
82,Hakan Çalhanoğlu,tr,"FW,MF",Milan,24,1994,32.0,1507,1887,79.9,28622,6966,1507,1887,79.9,1507,1887,79.9,1507,1887,79.9,6,5.8,+0.2,81,139,45,3,206,/en/players/cd0fa27b/matchlogs/2018-2019/passing/Hakan-Calhanoglu-Match-Logs
83,José Callejón,es,"MF,FW",Napoli,31,1987,29.4,1369,1683,81.3,24258,5641,1369,1683,81.3,1369,1683,81.3,1369,1683,81.3,10,9.2,+0.8,75,76,55,23,162,/en/players/78841da9/matchlogs/2018-2019/passing/Jose-Callejon-Match-Logs
84,Joel Campbell,cr,"FW,MF",Frosinone,26,1992,9.9,193,270,71.5,3267,700,193,270,71.5,193,270,71.5,193,270,71.5,3,1.3,+1.7,11,15,6,2,21,/en/players/895ff3ca/matchlogs/2018-2019/passing/Joel-Campbell-Match-Logs
85,Emre Can,de,MF,Juventus,24,1994,20.1,890,1026,86.7,17136,3409,890,1026,86.7,890,1026,86.7,890,1026,86.7,1,2.8,-1.8,19,67,14,2,71,/en/players/a65ce836/matchlogs/2018-2019/passing/Emre-Can-Match-Logs
86,João Cancelo,pt,DF,Juventus,24,1994,21.9,1261,1526,82.6,23553,7793,1261,1526,82.6,1261,1526,82.6,1261,1526,82.6,3,3.4,-0.4,32,92,46,22,165,/en/players/bd6351cd/matchlogs/2018-2019/passing/Joao-Cancelo-Match-Logs
87,Antonio Candreva,it,"FW,MF",Inter,31,1987,5.6,210,302,69.5,3681,1117,210,302,69.5,210,302,69.5,210,302,69.5,0,1.1,-1.1,16,8,13,8,43,/en/players/356c9002/matchlogs/2018-2019/passing/Antonio-Candreva-Match-Logs
88,Luan Capanni,br,FW,Lazio,18,2000,0.1,3,5,60.0,34,9,3,5,60.0,3,5,60.0,3,5,60.0,0,0.0,0.0,0,1,0,0,0,/en/players/28237d7e/matchlogs/2018-2019/passing/Luan-Capanni-Match-Logs
89,Leonardo Capezzi,it,MF,Empoli,23,1995,8.6,459,546,84.1,9070,2151,459,546,84.1,459,546,84.1,459,546,84.1,0,0.3,-0.3,3,52,8,1,45,/en/players/07ea0ef2/matchlogs/2018-2019/passing/Leonardo-Capezzi-Match-Logs
90,Gianluca Caprari,it,"FW,MF",Sampdoria,25,1993,11.5,342,440,77.7,5230,1121,342,440,77.7,342,440,77.7,342,440,77.7,2,1.4,+0.6,13,13,14,3,37,/en/players/54e53b7e/matchlogs/2018-2019/passing/Gianluca-Caprari-Match-Logs
91,Marco Capuano,it,DF,Frosinone,26,1991,25.6,973,1172,83.0,17660,7619,973,1172,83.0,973,1172,83.0,973,1172,83.0,0,0.3,-0.3,6,50,5,1,74,/en/players/616aea37/matchlogs/2018-2019/passing/Marco-Capuano-Match-Logs
92,Francesco Caputo,it,FW,Empoli,30,1987,38.0,712,921,77.3,10234,1502,712,921,77.3,712,921,77.3,712,921,77.3,3,5.8,-2.8,46,17,24,3,44,/en/players/5bd72174/matchlogs/2018-2019/passing/Francesco-Caputo-Match-Logs
93,Francesco Cassata,it,"MF,FW",Frosinone,21,1997,12.5,270,352,76.7,5031,1336,270,352,76.7,270,352,76.7,270,352,76.7,2,0.5,+1.5,10,26,9,2,34,/en/players/96960855/matchlogs/2018-2019/passing/Francesco-Cassata-Match-Logs
94,Timothy Castagne,be,"DF,MF",Atalanta,22,1995,22.3,1043,1251,83.4,16384,5537,1043,1251,83.4,1043,1251,83.4,1043,1251,83.4,3,2.5,+0.5,24,48,19,11,129,/en/players/197640fd/matchlogs/2018-2019/passing/Timothy-Castagne-Match-Logs
95,Samu Castillejo,es,"FW,MF",Milan,23,1995,11.4,409,508,80.5,6999,1633,409,508,80.5,409,508,80.5,409,508,80.5,2,1.8,+0.2,20,37,13,2,48,/en/players/130a7a3f/matchlogs/2018-2019/passing/Samu-Castillejo-Match-Logs
