Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
94,Timothy Castagne,be,"DF,MF",Atalanta,22,1995,22.3,56,34,28,21,7,56,69,46.4,37,427,134,31.4,28,21,7,49,8,0,41,27,83,47,0,/en/players/197640fd/matchlogs/2018-2019/defense/Timothy-Castagne-Match-Logs
95,Samu Castillejo,es,"FW,MF",Milan,23,1995,11.4,17,10,10,4,3,17,34,14.7,29,380,95,25.0,10,4,3,19,1,0,18,10,27,7,2,/en/players/130a7a3f/matchlogs/2018-2019/defense/Samu-Castillejo-Match-Logs
96,Lucas Castro,ar,"MF,FW",Cagliari,29,1989,10.0,17,12,5,8,4,17,27,22.2,21,162,31,19.1,5,8,4,26,6,0,20,16,33,3,0,/en/players/56b2957b/matchlogs/2018-2019/defense/Lucas-Castro-Match-Logs
97,Danilo Cataldi,it,"MF,FW",Lazio,23,1994,6.4,13,10,6,5,2,13,10,30.0,7,126,37,29.4,6,5,2,6,0,0,6,8,21,5,0,/en/players/ba3d3bea/matchlogs/2018-2019/defense/Danilo-Cataldi-Match-Logs
98,Federico Ceccherini,it,DF,Fiorentina,26,1992,11.0,15,9,10,4,1,15,11,45.5,6,80,27,33.8,10,4,1,18,6,0,12,21,36,44,0,/en/players/d9624b51/matchlogs/2018-2019/defense/Federico-Ceccherini-Match-Logs
99,Žan Celar,si,FW,Roma,19,1999,0.1,0,0,0,0,0,0,0,,0,7,2,28.6,0,0,0,0,0,0,0,0,0,0,0,/en/players/868c6958/matchlogs/2018-2019/defense/Zan-Celar-Match-Logs
100,Luca Ceppitelli,it,DF,Cagliari,28,1989,22.8,43,27,32,10,1,43,23,52.2,11,164,56,34.1,32,10,1,39,22,0,17,20,63,131,3,/en/players/7d50454d/matchlogs/2018-2019/defense/Luca-Ceppitelli-Match-Logs
Rk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Fabio Ceravolo,it,FW,Parma,31,1987,13.2,6,5,1,4,1,6,14,7.1,13,305,66,21.6,1,4,1,5,2,0,3,1,7,14,0,/en/players/4cc93246/matchlogs/2018-2019/defense/Fabio-Ceravolo-Match-Logs
102,Alberto Cerri,it,FW,Cagliari,22,1996,7.4,7,6,3,2,2,7,10,20.0,8,94,21,22.3,3,2,2,10,2,0,8,3,10,5,0,/en/players/1079c685/matchlogs/2018-2019/defense/Alberto-Cerri-Match-Logs
